timestamp,traffic_mbps,latency_ms,packet_loss_pct,source
2024-01-01 00:00:00,15.371,3.277,0.08,synthetic
2024-01-01 01:00:00,10.876,2.395,0.055,synthetic
2024-01-01 02:00:00,20.382,1.738,0.0,synthetic
2024-01-01 03:00:00,22.483,1.705,0.0,synthetic
2024-01-01 04:00:00,10.427,2.474,1.18,synthetic
2024-01-01 05:00:00,13.949,2.121,0.093,synthetic
2024-01-01 06:00:00,20.591,2.156,0.0,synthetic
2024-01-01 07:00:00,53.596,3.681,0.145,synthetic
2024-01-01 08:00:00,63.322,4.365,0.072,synthetic
2024-01-01 09:00:00,67.451,3.359,0.055,synthetic
2024-01-01 10:00:00,82.193,4.383,0.019,synthetic
2024-01-01 11:00:00,87.334,5.644,0.107,synthetic
2024-01-01 12:00:00,88.055,4.251,0.022,synthetic
2024-01-01 13:00:00,94.852,5.636,1.314,synthetic
2024-01-01 14:00:00,91.886,4.744,1.158,synthetic
2024-01-01 15:00:00,83.899,4.987,0.091,synthetic
2024-01-01 16:00:00,85.506,5.347,0.056,synthetic
2024-01-01 17:00:00,73.94,4.774,0.108,synthetic
2024-01-01 18:00:00,75.266,4.909,0.071,synthetic
2024-01-01 19:00:00,63.202,3.389,0.093,synthetic
2024-01-01 20:00:00,162.416,19.927,0.96,synthetic
2024-01-01 21:00:00,6.749,1.747,0.194,synthetic
2024-01-01 22:00:00,16.56,2.673,0.035,synthetic
2024-01-01 23:00:00,11.813,2.52,0.163,synthetic
2024-01-02 00:00:00,12.137,2.655,0.059,synthetic
2024-01-02 01:00:00,14.035,2.634,0.118,synthetic
2024-01-02 02:00:00,19.465,2.159,0.114,synthetic
2024-01-02 03:00:00,19.959,1.896,0.139,synthetic
2024-01-02 04:00:00,21.128,3.156,0.02,synthetic
2024-01-02 05:00:00,21.812,2.8,0.135,synthetic
2024-01-02 06:00:00,29.717,3.583,0.181,synthetic
2024-01-02 07:00:00,53.254,3.68,0.054,synthetic
2024-01-02 08:00:00,61.156,3.184,0.072,synthetic
2024-01-02 09:00:00,147.556,14.309,3.952,synthetic
2024-01-02 10:00:00,81.072,4.391,0.049,synthetic
2024-01-02 11:00:00,88.978,5.069,0.173,synthetic
2024-01-02 12:00:00,87.309,4.456,0.01,synthetic
2024-01-02 13:00:00,86.063,5.669,0.013,synthetic
2024-01-02 14:00:00,86.136,4.285,0.167,synthetic
2024-01-02 15:00:00,90.757,4.773,0.447,synthetic
2024-01-02 16:00:00,87.256,4.869,0.197,synthetic
2024-01-02 17:00:00,80.763,3.984,0.043,synthetic
2024-01-02 18:00:00,68.383,4.37,0.078,synthetic
2024-01-02 19:00:00,64.535,4.952,0.03,synthetic
2024-01-02 20:00:00,55.642,3.511,0.079,synthetic
2024-01-02 21:00:00,10.861,2.565,0.0,synthetic
2024-01-02 22:00:00,15.044,0.969,0.111,synthetic
2024-01-02 23:00:00,13.579,2.413,0.089,synthetic
2024-01-03 00:00:00,17.183,2.378,0.067,synthetic
2024-01-03 01:00:00,15.988,2.061,0.047,synthetic
2024-01-03 02:00:00,18.434,3.185,0.016,synthetic
2024-01-03 03:00:00,21.219,2.5,0.114,synthetic
2024-01-03 04:00:00,12.778,2.311,0.0,synthetic
2024-01-03 05:00:00,18.498,2.384,0.101,synthetic
2024-01-03 06:00:00,18.027,1.523,0.194,synthetic
2024-01-03 07:00:00,52.272,3.05,0.159,synthetic
